cus_id,tong_don,tong_tien,tongdon_cod,thuho_tongdon,don_ptc,don_ptc_cod,thu_ho
125,904,201328805.0,4,1715000.0,763.0,2.0,880000.0
427,1311,21037446.0,142,107459000.0,1113.0,127.0,94837000.0
538,1816,32280758.0,0,0.0,1564.0,0.0,0.0
734,13363,602716337.0,1,1000000.0,12708.0,1.0,1000000.0
781,1497,37902189.0,1011,519058500.0,478.0,330.0,168348600.0
1201,9172,183062502.0,2535,1276689032.0,8188.0,2274.0,1148523222.0
1551,618,202127796.0,5,1503000.0,0.0,0.0,0.0
1997,1901,18188139.0,0,0.0,1698.0,0.0,0.0
2451,1364,340066155.0,0,0.0,1238.0,0.0,0.0
2686,1655,162112435.0,0,0.0,1553.0,0.0,0.0
2705,2323,49276860.0,199,92470000.0,1086.0,92.0,47550000.0
2938,4543,96721584.0,2787,1533684555.0,4042.0,2514.0,1336919555.0
3054,1149,60696053.0,1,88000.0,942.0,1.0,88000.0
3157,1509,45774066.0,1392,1585689510.0,1307.0,1258.0,1436678110.0
3275,2507,291729634.0,2,309000.0,2332.0,1.0,50000.0
3423,1294,165451079.0,8,2834000.0,671.0,4.0,1613000.0
3745,26907,411089686.0,23043,8045824015.0,23684.0,21606.0,7473320018.0
3758,10073,135100824.0,7025,3576784736.0,5480.0,4594.0,2030508737.0
3825,13558,202195219.0,10487,2905657516.0,11511.0,9459.0,2557256716.0
4062,1884,86455399.0,0,0.0,1690.0,0.0,0.0
4524,1337,79836409.0,3,2300000.0,1088.0,0.0,0.0
4699,975,41889583.0,0,0.0,830.0,0.0,0.0
4910,11416,260579260.0,0,0.0,8543.0,0.0,0.0
4979,11599,294754627.0,8903,3773049520.0,10502.0,8070.0,3456525870.0
4997,10480,163748593.0,9088,1606575396.0,7988.0,7865.0,1385834510.0
5078,4854,190966519.0,3902,1909179000.0,4497.0,3712.0,1813037000.0
5308,1045,49637948.0,79,282130500.0,856.0,59.0,184137500.0
5309,2031,103455972.0,1389,1938051500.0,1228.0,832.0,1169606000.0
5716,10735,170356266.0,8808,3036066094.0,8739.0,7797.0,2634756094.0
6339,1055,13267951.0,7,10709000.0,887.0,7.0,10709000.0
6514,524,138638847.0,0,0.0,362.0,0.0,0.0
6762,2028,35555694.0,600,500393000.0,1807.0,535.0,438334000.0
7439,1542,88954935.0,0,0.0,1334.0,0.0,0.0
7653,2716,29109898.0,5,1720000.0,2640.0,4.0,1390000.0
7674,5034,136195850.0,862,1917393100.0,4799.0,813.0,1743915400.0
7743,2077,51008184.0,1908,393272000.0,1336.0,1319.0,270165000.0
8085,194696,9363323323.0,0,0.0,182170.0,0.0,0.0
8268,928,20518246.0,98,75873000.0,413.0,45.0,36486000.0
8579,3177,41199694.0,3075,641783226.0,1466.0,1455.0,304535204.0
8586,1912,155861449.0,254,558440000.0,1579.0,215.0,454574000.0
8692,1815,32618861.0,35,9789000.0,751.0,8.0,2394000.0
9404,1226,24418907.0,1037,1444931000.0,1058.0,950.0,1319606000.0
9522,790,280677071.0,1,4000000.0,491.0,0.0,0.0
9629,3016,514182798.0,0,0.0,2568.0,0.0,0.0
9638,1178,33421376.0,0,0.0,876.0,0.0,0.0
9899,18428,326798428.0,16995,3281666133.0,17378.0,16551.0,3201567134.0
9912,1883,30036076.0,0,0.0,1614.0,0.0,0.0
9916,1145,19287761.0,0,0.0,802.0,0.0,0.0
10158,954,29223512.0,0,0.0,808.0,0.0,0.0
10255,1215,39755158.0,0,0.0,1056.0,0.0,0.0
10419,1280,42701163.0,0,0.0,1025.0,0.0,0.0
10472,1419,58210588.0,0,0.0,1076.0,0.0,0.0
10642,1645,92037622.0,0,0.0,1347.0,0.0,0.0
10654,1189,23204067.0,0,0.0,944.0,0.0,0.0
10756,1600,88011640.0,0,0.0,1304.0,0.0,0.0
10787,8983,195565223.0,0,0.0,8313.0,0.0,0.0
10945,2967,76947732.0,0,0.0,2775.0,0.0,0.0
11146,1576,57173761.0,0,0.0,1341.0,0.0,0.0
11187,3130,61320987.0,0,0.0,2736.0,0.0,0.0
11232,1555,42159574.0,0,0.0,1072.0,0.0,0.0
11475,2287,31749234.0,829,7282901.0,2116.0,784.0,6923100.0
11600,188,473418682.0,160,69016000.0,65.0,59.0,17933000.0
11790,11734,258873928.0,6390,2690167001.0,10741.0,5879.0,2472681001.0
11844,1289,25577276.0,0,0.0,1111.0,0.0,0.0
12058,4435,1403802673.0,0,0.0,4009.0,0.0,0.0
12081,1551,26804002.0,0,0.0,1282.0,0.0,0.0
12352,1521,42954913.0,1254,187597387.0,1373.0,1170.0,174304884.0
12504,2551,109958118.0,0,0.0,1964.0,0.0,0.0
12560,1272,30490626.0,819,257114264.0,1068.0,702.0,226348975.0
12782,6463,484978276.0,5025,15520750792.0,6234.0,4891.0,14689078293.0
12961,803,183028630.0,0,0.0,484.0,0.0,0.0
12973,2897,75570570.0,1751,527467015.0,2623.0,1599.0,480513723.0
13187,2222,65079765.0,0,0.0,1375.0,0.0,0.0
13259,1066,60590176.0,0,0.0,751.0,0.0,0.0
13291,2941,78868889.0,1962,559482257.0,2594.0,1784.0,513127000.0
13304,74385,2720587130.0,24497,13482917103.0,72714.0,23565.0,12872610963.0
13677,5064,111134977.0,4,2925001.0,4504.0,4.0,2925001.0
14114,1351,21935332.0,0,0.0,1033.0,0.0,0.0
14896,1361,50653635.0,0,0.0,1108.0,0.0,0.0
15303,12228,166014352.0,10447,1290219004.0,8621.0,8590.0,1053248004.0
15573,2117,51509282.0,1469,339104199.0,1903.0,1338.0,309191405.0
15970,1041,21838036.0,757,139948539.0,859.0,664.0,124041174.0
15989,7304,236154023.0,4226,1478133043.0,6650.0,3899.0,1366956937.0
16088,1627,40148060.0,1226,637593865.0,1480.0,1145.0,592593482.0
16103,1200,17254000.0,902,602329500.0,683.0,645.0,397577500.0
16195,1464,60818495.0,0,0.0,1159.0,0.0,0.0
16202,3443,94036428.0,2407,632910492.0,3047.0,2206.0,577602157.0
16580,2008,45623005.0,1550,276930332.0,1776.0,1416.0,253564274.0
16611,968,20472087.0,0,0.0,713.0,0.0,0.0
16699,23,111380841.0,0,0.0,0.0,0.0,0.0
16851,1237,21815921.0,223,127135001.0,1103.0,202.0,112997001.0
17157,1004,21163882.0,846,352051842.0,799.0,699.0,290062035.0
17476,200,249258923.0,0,0.0,41.0,0.0,0.0
17602,1446,52470769.0,1117,328002223.0,1273.0,1039.0,299384336.0
17703,1373,38485612.0,987,588481000.0,887.0,660.0,391441000.0
17798,1403,43055517.0,0,0.0,538.0,0.0,0.0
17917,6800,169582471.0,0,0.0,6329.0,0.0,0.0
17965,6953,395130585.0,2,3778692.0,6310.0,1.0,28692.0
17992,3059,152314824.0,843,2301181000.0,2671.0,723.0,1804186000.0
18230,11784,446478947.0,6995,2760183322.0,10617.0,6469.0,2509549882.0
18433,1155,28688092.0,706,255304356.0,957.0,607.0,219958837.0
18482,1826,43755266.0,1068,340109551.0,1550.0,912.0,290022751.0
18490,2877,171980309.0,0,0.0,2808.0,0.0,0.0
18529,2598,69772303.0,1673,651039895.0,2346.0,1541.0,589215528.0
18613,2935,81425380.0,0,0.0,2742.0,0.0,0.0
18761,808,115644428.0,0,0.0,665.0,0.0,0.0
18834,4628,198036284.0,3724,2388352010.0,4062.0,3374.0,2155247010.0
19523,4718,126594903.0,3354,630105933.0,4287.0,3152.0,589788454.0
19585,940,24026089.0,0,0.0,692.0,0.0,0.0
19666,1336,47895815.0,1114,363311000.0,1049.0,872.0,286943000.0
19728,1533,81336791.0,0,0.0,1338.0,0.0,0.0
19782,3805,128480607.0,2431,607622073.0,3512.0,2280.0,579589742.0
20157,1363,43755084.0,953,640757993.0,891.0,618.0,397624995.0
